,State,Number of Incidents,Incidents per Capita
0,Illinois,17556,0.0013713457630875996
1,California,16306,0.00041242742525524355
2,Florida,15029,0.0007161986999866568
3,Texas,13577,0.00047967474964136567
4,Ohio,10244,0.0008786639984238257
5,New York,9712,0.0004892843355106117
6,Pennsylvania,8929,0.0006972764984396984
7,Georgia,8925,0.0008557556494974437
8,North Carolina,8739,0.0008506418359846902
9,Louisiana,8103,0.0017298087048892553
10,Tennessee,7626,0.0011355000250149493
11,South Carolina,6939,0.001381068946170156
12,Missouri,6631,0.0010846430508583255
13,Michigan,6136,0.0006159213459607917
14,Massachusetts,5981,0.0008718888938614853
15,Virginia,5949,0.0007023596166242819
16,Indiana,5852,0.0008777800743923113
17,Maryland,5798,0.0009580023849269445
18,Alabama,5471,0.0011223146555093013
19,New Jersey,5387,0.0005981804299614775
20,Wisconsin,4787,0.0008259881014231256
21,Kentucky,4157,0.0009332787629801969
22,Mississippi,3599,0.0012060587781910794
23,Oklahoma,3455,0.0008789416270824938
24,Washington,3434,0.00046369418976596944
25,Colorado,3201,0.0005708778464083562
26,District of Columbia,3195,0.004603932147118328
27,Connecticut,3067,0.0008547499236382527
28,Arkansas,2842,0.0009459840447574942
29,Iowa,2517,0.0008001370755291888
30,Minnesota,2408,0.0004318038606277725
31,Arizona,2328,0.0003318002300367574
32,Oregon,2286,0.0005518039111938468
33,Kansas,2145,0.0007363231830581819
34,Nevada,1952,0.0006510922639765527
35,Delaware,1685,0.0017516703242097472
36,Nebraska,1651,0.0008598617971371967
37,New Mexico,1645,0.0007878088378263181
38,West Virginia,1575,0.0008673590486475532
39,Alaska,1349,0.0018234781256969835
40,Utah,1072,0.0003456021004354522
41,New Hampshire,964,0.0007179055626510375
42,Maine,907,0.0006789394770743772
43,Rhode Island,895,0.0008446272740055812
44,Idaho,661,0.00038498657206441914
45,Montana,638,0.00060733388989741
46,North Dakota,573,0.0007585455517856269
47,South Dakota,544,0.000625527501362592
48,Wyoming,494,0.0008527312429334645
49,Vermont,472,0.0007568262682852914
50,Hawaii,289,0.00020244644976175766
